shell#	D	alfa	SH	thick	aColl	ff	fov	ShellWeight(kg)	TotWeight
46	445.004176686	0.018507954162	88.6719417071	1.0	1149.41897973	0.00925397708101	0.00872664625997	0.815149233075	22.4838385927
47	451.927664524	0.0187948300972	89.5225416415	1.0	1196.79165715	0.00939741504858	0.00872664625997	0.835742952383	23.3195815451
48	458.975439994	0.019086804983	90.3884111993	1.0	1246.30292878	0.00954340249148	0.00872664625997	0.85695474529	24.1765362904
49	466.151225077	0.0193840294495	91.2700076523	1.0	1298.06581597	0.00969201472473	0.00872664625997	0.878809244424	25.0553455348
50	473.45888953	0.0196866599973	92.1678064279	1.0	1352.20039322	0.00984332999865	0.00872664625997	0.901332319749	25.9566778545
51	480.902458276	0.0199948592841	93.0823020168	1.0	1408.83429971	0.00999742964205	0.00872664625997	0.924551153572	26.8812290081
52	488.486119232	0.0203087964277	94.0140089342	1.0	1468.10329326	0.0101543982138	0.00872664625997	0.948494320884	27.829723329
53	496.214231613	0.0206286473272	94.963462741	1.0	1530.15185069	0.0103143236636	0.00872664625997	0.973191875471	28.8029152045
54	504.091334746	0.0209545950032	95.9312211259	1.0	1595.133819	0.0104772975016	0.00872664625997	0.998675442277	29.8015906467
55	512.122157435	0.0212868299582	96.9178650563	1.0	1663.21312208	0.0106434149791	0.00872664625997	1.02497831655	30.8265689633
56	520.311627909	0.0216255505596	97.9240000003	1.0	1734.56452863	0.0108127752798	0.00872664625997	1.0521355703	31.8787045336
57	528.664884395	0.0219709634447	98.9502572257	1.0	1809.37448681	0.0109854817224	0.00872664625997	1.0801841668	32.9588887004
58	537.187286376	0.0223232839526	99.9972951833	1.0	1887.84203256	0.0111616419763	0.00872664625997	1.10916308364	34.068051784
59	545.884426568	0.0226827365811	101.065800978	1.0	1970.17977879	0.0113413682906	0.00872664625997	1.13911344526	35.2071652293
60	554.762143683	0.023049555474	102.156491938	1.0	2056.61499346	0.011524777737	0.00872664625997	1.17007866574	36.377243895
61	563.826536033	0.0234239849382	103.270117284	1.0	2147.39077579	0.0117119924691	0.00872664625997	1.20210460266	37.5793484977
62	573.083976038	0.0238062799944	104.407459913	1.0	2242.76734045	0.0119031399972	0.00872664625997	1.23523972315	38.8145882208
63	582.541125713	0.0241967069637	105.569338302	1.0	2343.02342116	0.0120983534818	0.00872664625997	1.26953528321	40.0841235041
64	592.204953209	0.024595544092	106.756608537	1.0	2448.45780606	0.012297772046	0.00872664625997	1.30504552146	41.3891690255
65	602.082750491	0.0250030822164	107.970166489	1.0	2559.39101888	0.0125015411082	0.00872664625997	1.34182786872	42.7309968942
66	612.182152252	0.0254196254751	109.210950134	1.0	2676.16716158	0.0127098127376	0.00872664625997	1.37994317485	44.1109400691
67	622.511156148	0.0258454920658	110.479942041	1.0	2799.15593599	0.0129227460329	0.00872664625997	1.41945595462	45.5303960237
68	633.07814448	0.0262810150556	111.778172036	1.0	2928.75486397	0.0131405075278	0.00872664625997	1.46043465417	46.9908306779
69	643.891907434	0.0267265432464	113.106720056	1.0	3065.39172831	0.0133632716232	0.00872664625997	1.50295194042	48.4937826183
70	654.961668017	0.0271824421004	114.466719214	1.0	3209.52725897	0.0135912210502	0.00872664625997	1.54708501535	50.0408676336
71	666.29710882	0.0276490947305	115.859359084	1.0	3361.65809272	0.0138245473653	0.00872664625997	1.59291595785	51.6337835915
72	677.908400782	0.028126902961	117.285889239	1.0	3522.3200374	0.0140634514805	0.00872664625997	1.6405320958	53.2743156873
73	689.806234125	0.028616288464	118.74762305	1.0	3692.09167649	0.014308144232	0.00872664625997	1.6900264115	54.9643420988
